년도,월,가격
2000,1,479 
2000,2,516 
2000,3,744 
2000,4,953 
2000,5,616 
2000,6,386 
2000,7,409 
2000,8,460 
2000,9,510 
2000,10,535 
2000,11,633 
2000,12,678 
2001,1,687 
2001,2,703 
2001,3,721 
2001,4,407 
2001,5,258 
2001,6,329 
2001,7,358 
2001,8,350 
2001,9,382 
2001,10,438 
2001,11,448 
2001,12,450 
2002,1,450 
2002,2,443 
2002,3,392 
2002,4,319 
2002,5,288 
2002,6,333 
2002,7,348 
2002,8,365 
2002,9,426 
2002,10,452 
2002,11,472 
2002,12,538 
2003,1,774 
2003,2,1054 
2003,3,1737 
2003,4,1337 
2003,5,699 
2003,6,519 
2003,7,600 
2003,8,731 
2003,9,858 
2003,10,874 
2003,11,889 
2003,12,921 
2004,1,888 
2004,2,885 
2004,3,856 
2004,4,566 
2004,5,459 
2004,6,404 
2004,7,432 
2004,8,552 
2004,9,611 
2004,10,593 
2004,11,594 
2004,12,593 
2005,1,598 
2005,2,760 
2005,3,932 
2005,4,933 
2005,5,574 
2005,6,425 
2005,7,387 
2005,8,418 
2005,9,478 
2005,10,493 
2005,11,492 
2005,12,495 
2006,1,509 
2006,2,600 
2006,3,855 
2006,4,848 
2006,5,678 
2006,6,448 
2006,7,585 
2006,8,735 
2006,9,810 
2006,10,917 
2006,11,1051 
2006,12,1232 
2007,1,1106 
2007,2,1016 
2007,3,702 
2007,4,535 
2007,5,322 
2007,6,346 
2007,7,328 
2007,8,361 
2007,9,443 
2007,10,462 
2007,11,488 
2007,12,503 
2008,1,517 
2008,2,529 
2008,3,522 
2008,4,727 
2008,5,592 
2008,6,650 
2008,7,763 
2008,8,777 
2008,9,778 
2008,10,822 
2008,11,930 
2008,12,983 
2009,1,1040 
2009,2,1306 
2009,3,1388 
2009,4,1091 
2009,5,811 
2009,6,497 
2009,7,518 
2009,8,620 
2009,9,659 
2009,10,671 
2009,11,669 
2009,12,619 
2010,1,603 
2010,2,658 
2010,3,914 
2010,4,1505 
2010,5,959 
2010,6,627 
2010,7,770 
2010,8,884 
2010,9,938 
2010,10,920 
2010,11,938 
2010,12,927 
2011,1,1060 
2011,2,1353 
2011,3,1106 
2011,4,608 
2011,5,486 
2011,6,574 
2011,7,680 
2011,8,750 
2011,9,760 
2011,10,787 
2011,11,777 
2011,12,726 
2012,1,693 
2012,2,674 
2012,3,609 
2012,4,557 
2012,5,765 
2012,6,840 
2012,7,896 
2012,8,995 
2012,9,1050 
2012,10,1139 
2012,11,1253 
2012,12,1322 
2013,1,1408 
2013,2,1761 
2013,3,2023 
2013,4,2488 
2013,5,1725 
2013,6,947 
2013,7,775 
2013,8,830 
2013,9,932 
2013,10,960 
2013,11,983 
2013,12,881 
2014,1,810 
2014,2,774 
2014,3,687 
2014,4,636 
2014,5,617 
2014,6,498 
2014,7,456 
2014,8,497 
2014,9,526 
2014,10,524 
2014,11,520 
2014,12,520 
2015,1,520 
2015,2,564 
2015,3,658 
2015,4,649 
2015,5,752 
2015,6,848 
2015,7,1150 
2015,8,1386 
2015,9,1400 
2015,10,1417 
2015,11,1594 
2015,12,1717 
2016,1,1673 
2016,2,1632 
2016,3,1608 
2016,4,1563 
2016,5,734 
2016,6,725 
2016,7,707 
2016,8,818 
2016,9,921 
2016,10,973 
2016,11,1028 
2016,12,1061 
2017,1,1235 
2017,2,1336 
2017,3,1415 
2017,4,1227 
2017,5,1020 
2017,6,1070 
2017,7,1203 
2017,8,1279 
2017,9,1280 
2017,10,1246 
2017,11,1247 
2017,12,1221 
2018,1,1195 
2018,2,1124 
2018,3,907 
2018,4,786 
2018,5,835 
2018,6,700 
2018,7,665 
2018,8,769 
2018,9,780 
2018,10,720 
2018,11,699 
2018,12,661 
2019,1,615 
2019,2,605 
2019,3,673 
2019,4,868 
2019,5,658 
2019,6,485 
2019,7,423 
2019,8,500 
2019,9,539 
2019,10,521 
2019,11,605 
2019,12,749 